trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
NPS_CUVA_FA17__NPSR_1_NB,12:30:00,12:30:00,NPS_CUVA_010,150,1,0
NPS_CUVA_FA17__NPSR_2_SB,12:50:00,12:50:00,NPS_CUVA_010,10,0,1
NPS_CUVA_FA17__NPSR_2_SB,13:00:00,13:00:00,NPS_CUVA_020,20,0,0
NPS_CUVA_FA17__NPSR_2_SB,13:20:00,13:20:00,NPS_CUVA_030,30,0,0
NPS_CUVA_FA17__NPSR_2_SB,13:30:00,13:30:00,NPS_CUVA_040,40,0,0
NPS_CUVA_FA17__NPSR_2_SB,13:35:00,13:45:00,NPS_CUVA_050,50,0,0
NPS_CUVA_FA17__NPSR_2_SB,14:00:00,14:00:00,NPS_CUVA_060,60,0,0
NPS_CUVA_FA17__NPSR_2_SB,14:10:00,14:10:00,NPS_CUVA_070,70,0,0
NPS_CUVA_FA17__NPSR_2_SB,14:20:00,14:20:00,NPS_CUVA_075,75,0,0
NPS_CUVA_FA17__NPSR_2_SB,14:30:00,14:30:00,NPS_CUVA_080,80,1,0
NPS_CUVA_FA17__NPSR_2_NB,14:50:00,14:50:00,NPS_CUVA_080,80,0,1
NPS_CUVA_FA17__NPSR_2_NB,15:00:00,15:00:00,NPS_CUVA_075,85,0,0
NPS_CUVA_FA17__NPSR_2_NB,15:10:00,15:10:00,NPS_CUVA_070,90,0,0
NPS_CUVA_FA17__NPSR_2_NB,15:20:00,15:20:00,NPS_CUVA_060,100,0,0
NPS_CUVA_FA17__NPSR_2_NB,15:30:00,15:40:00,NPS_CUVA_050,110,0,0
NPS_CUVA_FA17__NPSR_2_NB,15:50:00,15:50:00,NPS_CUVA_040,120,0,0
NPS_CUVA_FA17__NPSR_2_NB,16:00:00,16:00:00,NPS_CUVA_030,130,0,0
NPS_CUVA_FA17__NPSR_2_NB,16:20:00,16:20:00,NPS_CUVA_020,140,0,0
NPS_CUVA_FA17__NPSR_2_NB,16:30:00,16:30:00,NPS_CUVA_010,150,1,0
